epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,118.782,1.8961,32.2921,0.04145,0.24285,0.00711,0.00295,5e-05,2e-05,1.62154,17.3393,0.03816,0.2171,0.000331263,0.000331263,0.000331263
2,209.429,1.64987,11.3187,0.04191,0.23664,0.05,0.02174,0.01225,0.00533,1.56424,8.25951,0.03615,0.17096,0.000663947,0.000663947,0.000663947
3,299.303,1.66445,6.26284,0.04162,0.23726,0.03511,0.19651,0.04097,0.01984,1.63842,5.28275,0.03279,0.18912,0.000994034,0.000994034,0.000994034
4,388.509,1.66028,4.49328,0.03853,0.22213,0.74842,0.1442,0.12315,0.06018,1.73555,3.88086,0.03669,0.20183,0.000991232,0.000991232,0.000991232
5,478.692,1.71096,3.63693,0.03863,0.21344,0.47384,0.21893,0.17567,0.08052,1.72611,3.41086,0.03515,0.167,0.000984449,0.000984449,0.000984449
6,567.367,1.73451,3.29095,0.03858,0.20264,0.21572,0.30659,0.22273,0.10062,1.70657,3.04947,0.03164,0.17312,0.000975773,0.000975773,0.000975773
7,657.163,1.72583,2.93611,0.04054,0.1897,0.32549,0.36071,0.28253,0.13114,1.69305,2.7695,0.02972,0.19909,0.000965239,0.000965239,0.000965239
8,748.838,1.68171,2.68352,0.03771,0.20201,0.31644,0.37955,0.28359,0.13224,1.68422,2.62093,0.03215,0.16418,0.000952889,0.000952889,0.000952889
9,839.601,1.71254,2.56946,0.03971,0.19035,0.30256,0.4017,0.32217,0.14671,1.74556,2.43615,0.03307,0.17158,0.000938772,0.000938772,0.000938772
10,932.043,1.72083,2.35574,0.04031,0.17557,0.38582,0.38387,0.33609,0.15809,1.73328,2.37542,0.03199,0.14677,0.000922942,0.000922942,0.000922942
11,1025.76,1.74178,2.20378,0.03985,0.18904,0.43719,0.4476,0.40171,0.20226,1.68608,2.1366,0.03107,0.14567,0.000905463,0.000905463,0.000905463
12,1117.92,1.70986,2.0952,0.03979,0.18307,0.43055,0.49373,0.43325,0.20511,1.73936,1.96412,0.03323,0.1656,0.000886404,0.000886404,0.000886404
13,1209.85,1.7293,1.97725,0.0422,0.18174,0.47713,0.48105,0.46301,0.23001,1.67181,1.86781,0.03076,0.15355,0.000865839,0.000865839,0.000865839
14,1301.84,1.68749,1.81389,0.04027,0.16807,0.50015,0.51818,0.48246,0.25298,1.64697,1.81464,0.03268,0.1471,0.000843851,0.000843851,0.000843851
15,1392.89,1.69085,1.74971,0.03853,0.18141,0.54262,0.52432,0.5301,0.27182,1.67525,1.6817,0.03157,0.14383,0.000820525,0.000820525,0.000820525
16,1485.45,1.6265,1.60989,0.04125,0.18409,0.5421,0.59254,0.56412,0.29809,1.6223,1.54392,0.03094,0.13976,0.000795954,0.000795954,0.000795954
17,1575.85,1.61153,1.55105,0.04044,0.1791,0.58644,0.58212,0.56912,0.29869,1.61015,1.59341,0.03089,0.14585,0.000770234,0.000770234,0.000770234
18,1668.22,1.62675,1.45117,0.04024,0.16625,0.6495,0.58062,0.62181,0.33471,1.59968,1.46224,0.03115,0.14618,0.000743468,0.000743468,0.000743468
19,1757.95,1.60553,1.35519,0.04137,0.1738,0.64132,0.62133,0.63706,0.34958,1.58258,1.3852,0.03082,0.14269,0.000715761,0.000715761,0.000715761
20,1848.27,1.58667,1.3451,0.03784,0.17286,0.67738,0.59848,0.65514,0.3692,1.58108,1.32404,0.02798,0.145,0.000687222,0.000687222,0.000687222
21,1940.88,1.55235,1.20938,0.03829,0.16541,0.73601,0.63837,0.71125,0.39113,1.58134,1.31213,0.03064,0.13949,0.000657963,0.000657963,0.000657963
22,2031.87,1.49908,1.13958,0.03834,0.1656,0.72629,0.63702,0.70361,0.39568,1.54164,1.26146,0.03071,0.14147,0.000628101,0.000628101,0.000628101
23,2121.81,1.53761,1.16763,0.04,0.1623,0.72276,0.68374,0.74217,0.42664,1.509,1.15109,0.02877,0.1348,0.000597754,0.000597754,0.000597754
24,2212.83,1.48614,1.06704,0.03797,0.15541,0.72318,0.68799,0.73919,0.42244,1.52232,1.17428,0.03171,0.13353,0.00056704,0.00056704,0.00056704
25,2302.13,1.46708,0.99781,0.04043,0.15476,0.76981,0.69122,0.76549,0.44168,1.52523,1.08654,0.02992,0.13131,0.000536081,0.000536081,0.000536081
26,2391.87,1.44016,0.92934,0.03895,0.16007,0.78444,0.69315,0.76552,0.45373,1.48794,1.0519,0.02917,0.1472,0.000505,0.000505,0.000505
27,2483.61,1.42717,0.90721,0.04031,0.14616,0.80262,0.71074,0.79425,0.46886,1.47007,0.97168,0.02988,0.13408,0.000473919,0.000473919,0.000473919
28,2577.16,1.38642,0.87731,0.03893,0.14223,0.77677,0.74944,0.80161,0.49015,1.40988,0.95498,0.02825,0.13528,0.00044296,0.00044296,0.00044296
29,2669.35,1.35433,0.8389,0.0379,0.1434,0.81247,0.75362,0.79802,0.48385,1.43069,0.97327,0.02915,0.13044,0.000412246,0.000412246,0.000412246
30,2762.82,1.34249,0.81093,0.03977,0.15306,0.79379,0.73553,0.80872,0.49903,1.39735,0.91539,0.02984,0.12372,0.000381899,0.000381899,0.000381899
31,2858.75,1.3213,0.77776,0.03939,0.1475,0.80339,0.78847,0.8429,0.52956,1.35439,0.85139,0.02952,0.12004,0.000352037,0.000352037,0.000352037
32,2954.92,1.30542,0.74544,0.03956,0.12925,0.81492,0.7692,0.83368,0.5213,1.35928,0.85637,0.02932,0.12357,0.000322778,0.000322778,0.000322778
33,3051.34,1.26196,0.72322,0.03977,0.13635,0.79739,0.7913,0.84899,0.5303,1.37393,0.82388,0.02968,0.12911,0.000294239,0.000294239,0.000294239
34,3144.49,1.25385,0.69681,0.0355,0.13309,0.84678,0.78244,0.84603,0.53509,1.33199,0.82976,0.02831,0.12416,0.000266532,0.000266532,0.000266532
35,3237.44,1.26329,0.6909,0.04151,0.13728,0.83425,0.78635,0.84987,0.55031,1.31453,0.80456,0.02865,0.12399,0.000239766,0.000239766,0.000239766
36,3328.4,1.22961,0.66643,0.03922,0.12739,0.89495,0.78084,0.87322,0.55954,1.30474,0.75723,0.02846,0.12038,0.000214046,0.000214046,0.000214046
37,3421.97,1.23087,0.62842,0.03979,0.12867,0.8768,0.79727,0.87082,0.56344,1.29578,0.74282,0.02848,0.12686,0.000189475,0.000189475,0.000189475
38,3518.05,1.19488,0.61924,0.03627,0.11643,0.8463,0.8116,0.86798,0.5615,1.27662,0.77893,0.02719,0.1186,0.000166149,0.000166149,0.000166149
39,3611.92,1.19066,0.63765,0.03575,0.12679,0.85544,0.82767,0.89058,0.57846,1.26817,0.71819,0.0281,0.12001,0.000144161,0.000144161,0.000144161
40,3705.49,1.17263,0.59735,0.03647,0.12336,0.86525,0.83635,0.89243,0.58388,1.27298,0.70269,0.0279,0.11704,0.000123596,0.000123596,0.000123596
41,3808.24,1.16041,0.59576,0.03712,0.13113,0.85514,0.82842,0.88704,0.58226,1.27434,0.69534,0.0273,0.11949,0.000104537,0.000104537,0.000104537
42,3903.66,1.16492,0.56732,0.0378,0.12812,0.88729,0.79884,0.88631,0.58072,1.26546,0.69655,0.02771,0.1191,8.70577e-05,8.70577e-05,8.70577e-05
43,3997.87,1.14689,0.5982,0.03769,0.12044,0.87278,0.8184,0.89096,0.58193,1.2632,0.70387,0.0279,0.1176,7.12282e-05,7.12282e-05,7.12282e-05
44,4090.57,1.13587,0.55848,0.03721,0.12125,0.87314,0.80056,0.88214,0.57412,1.26173,0.71753,0.02719,0.12101,5.71106e-05,5.71106e-05,5.71106e-05
45,4183.32,1.14641,0.55789,0.03777,0.12207,0.85253,0.82289,0.88677,0.58448,1.25072,0.68988,0.02786,0.11852,4.47606e-05,4.47606e-05,4.47606e-05
46,4275.59,1.14436,0.55805,0.0372,0.11621,0.8793,0.81402,0.88607,0.5856,1.24669,0.69943,0.02732,0.11648,3.4227e-05,3.4227e-05,3.4227e-05
47,4369.41,1.12891,0.55015,0.0381,0.12782,0.882,0.80622,0.88799,0.5868,1.24297,0.6902,0.02742,0.11381,2.55513e-05,2.55513e-05,2.55513e-05
48,4463.04,1.11349,0.51321,0.03682,0.12324,0.87385,0.82101,0.89196,0.58846,1.2406,0.69073,0.02738,0.11556,1.87678e-05,1.87678e-05,1.87678e-05
49,4555.66,1.10904,0.52605,0.03755,0.12244,0.87547,0.83376,0.89128,0.59078,1.23983,0.68466,0.02734,0.11492,1.39032e-05,1.39032e-05,1.39032e-05
50,4652.56,1.13424,0.5795,0.0358,0.12016,0.88469,0.82295,0.89411,0.58943,1.24265,0.68463,0.02759,0.1168,1.09768e-05,1.09768e-05,1.09768e-05
