epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,131.815,1.89989,24.9602,0.04104,0.27106,0.04013,0.12534,0.01865,0.00847,1.79822,6.28467,0.03931,0.25685,0.000331263,0.000331263,0.000331263
2,237.48,1.83898,4.64721,0.04083,0.29474,0.32729,0.16122,0.08091,0.0297,1.89463,4.13661,0.03817,0.2565,0.000664434,0.000664434,0.000664434
3,342.981,1.9736,3.73611,0.0414,0.29054,0.14795,0.17265,0.10079,0.03741,1.94597,4.291,0.03249,0.21881,0.000996955,0.000996955,0.000996955
4,446.149,1.94972,3.43838,0.03871,0.26631,0.17573,0.20744,0.12531,0.05106,1.91541,3.29608,0.03251,0.21151,0.000997803,0.000997803,0.000997803
5,549.961,1.96421,3.13349,0.0395,0.26531,0.22495,0.26656,0.20872,0.08926,1.90308,2.8568,0.03225,0.22756,0.000996097,0.000996097,0.000996097
6,654.02,2.01892,3.00434,0.03962,0.27107,0.22903,0.24482,0.19458,0.07446,1.93179,2.93904,0.0343,0.22882,0.000993906,0.000993906,0.000993906
7,757.893,1.97196,2.80164,0.04015,0.23959,0.22172,0.2292,0.17997,0.07712,1.9869,3.03398,0.03491,0.23103,0.000991232,0.000991232,0.000991232
8,861.218,1.9202,2.67081,0.04078,0.25015,0.34215,0.28737,0.24601,0.1012,1.89196,2.65671,0.03047,0.19108,0.000988079,0.000988079,0.000988079
9,962.794,1.93729,2.54726,0.04023,0.24965,0.31501,0.35599,0.27421,0.11864,1.88639,2.51327,0.03272,0.19441,0.000984449,0.000984449,0.000984449
10,1064.2,1.92042,2.45422,0.04101,0.24623,0.31335,0.32618,0.26431,0.12165,1.97576,2.5425,0.03411,0.27362,0.000980345,0.000980345,0.000980345
11,1166.71,1.92456,2.32303,0.04063,0.23993,0.34131,0.35011,0.30628,0.13962,1.88222,2.34284,0.03556,0.18804,0.000975773,0.000975773,0.000975773
12,1268.37,1.90279,2.26479,0.04187,0.22536,0.41457,0.36116,0.32623,0.15743,1.8368,2.29053,0.03254,0.21883,0.000970736,0.000970736,0.000970736
13,1370.9,1.90706,2.23593,0.04278,0.22361,0.39106,0.41281,0.3652,0.17213,1.85805,2.09041,0.03407,0.18001,0.000965239,0.000965239,0.000965239
14,1472.02,1.88878,2.12,0.03936,0.21074,0.33931,0.42305,0.35901,0.1623,1.8602,2.11206,0.03292,0.21122,0.000959289,0.000959289,0.000959289
