epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9902,2.29864,6.80606,2.91962,0.28433,0.02666,0.27391,0.03122,0.01025,1.99565,4.6631,2.60236,0.24303,0.000331263,0.000331263,0.000331263
2,173.867,2.14005,4.18401,2.71548,0.29127,0.0957,0.27494,0.08543,0.03537,2.00334,3.83019,2.607,0.29217,0.000663947,0.000663947,0.000663947
3,258.277,2.08802,3.62343,2.77935,0.30835,0.20967,0.18309,0.12835,0.04863,2.01279,3.76259,2.80734,0.26616,0.000994034,0.000994034,0.000994034
4,340.436,2.06338,3.41367,2.73278,0.31032,0.36736,0.20215,0.14393,0.05714,1.99344,3.34213,2.73413,0.27209,0.000991232,0.000991232,0.000991232
5,422.221,1.97466,3.19726,2.68893,0.28311,0.27106,0.16081,0.1441,0.06014,1.98391,3.25896,2.69628,0.32415,0.000984449,0.000984449,0.000984449
6,503.18,2.02182,3.14938,2.70209,0.29402,0.34204,0.26436,0.19352,0.08063,1.95656,3.02734,2.6121,0.31855,0.000975773,0.000975773,0.000975773
7,585.415,1.97996,2.95462,2.65136,0.29726,0.34946,0.22982,0.17697,0.07189,1.9552,3.0502,2.66267,0.27508,0.000965239,0.000965239,0.000965239
8,667.77,1.92831,2.83381,2.63978,0.28221,0.37537,0.30347,0.24222,0.11022,1.87121,2.88242,2.62535,0.26839,0.000952889,0.000952889,0.000952889
9,749.323,1.92268,2.73665,2.63609,0.2662,0.29167,0.27762,0.22653,0.102,1.94437,2.80035,2.63786,0.25938,0.000938772,0.000938772,0.000938772
10,831.81,1.88025,2.65015,2.62405,0.26335,0.3222,0.32237,0.27917,0.13024,1.88555,2.65672,2.61804,0.25131,0.000922942,0.000922942,0.000922942
11,915.143,1.85807,2.58848,2.61498,0.25915,0.29238,0.32788,0.27698,0.12413,1.92914,2.666,2.67578,0.24869,0.000905463,0.000905463,0.000905463
12,995.637,1.86724,2.52248,2.62259,0.24836,0.24255,0.3747,0.29159,0.13901,1.89569,2.65822,2.70276,0.25613,0.000886404,0.000886404,0.000886404
13,1077.13,1.85606,2.45419,2.60203,0.2365,0.33562,0.40422,0.32607,0.1562,1.80811,2.46516,2.59611,0.21294,0.000865839,0.000865839,0.000865839
14,1158.44,1.82018,2.33864,2.56269,0.22741,0.34166,0.41113,0.37195,0.17629,1.81552,2.42219,2.56746,0.22074,0.000843851,0.000843851,0.000843851
15,1240.53,1.7927,2.25581,2.53817,0.23065,0.38949,0.38697,0.34168,0.15601,1.79069,2.43013,2.63368,0.22632,0.000820525,0.000820525,0.000820525
16,1322.48,1.762,2.17304,2.5253,0.23698,0.39704,0.41554,0.37334,0.18351,1.77785,2.28678,2.57883,0.22407,0.000795954,0.000795954,0.000795954
17,1402.99,1.75058,2.11125,2.54516,0.22525,0.4179,0.41672,0.40001,0.19415,1.76629,2.28858,2.56087,0.22272,0.000770234,0.000770234,0.000770234
18,1484.77,1.7348,2.06568,2.50215,0.22554,0.47683,0.46545,0.45143,0.22316,1.74104,2.11439,2.55955,0.21087,0.000743468,0.000743468,0.000743468
19,1565.28,1.70011,1.97801,2.46512,0.21938,0.47385,0.4672,0.4334,0.21855,1.78003,2.17302,2.58991,0.20476,0.000715761,0.000715761,0.000715761
20,1646.25,1.66656,1.94872,2.4618,0.20085,0.5126,0.53131,0.50365,0.24347,1.73858,2.00438,2.57894,0.1872,0.000687222,0.000687222,0.000687222
21,1728.43,1.65198,1.83974,2.4361,0.21094,0.51728,0.5083,0.49105,0.24565,1.69617,1.99137,2.56141,0.2067,0.000657963,0.000657963,0.000657963
22,1809.86,1.61035,1.73979,2.36183,0.22521,0.50899,0.53073,0.53348,0.26409,1.70638,1.87556,2.52191,0.20215,0.000628101,0.000628101,0.000628101
23,1890.48,1.6236,1.76664,2.4157,0.21303,0.58022,0.5117,0.53862,0.28115,1.65875,1.8794,2.49653,0.19835,0.000597754,0.000597754,0.000597754
24,1972.47,1.59304,1.65047,2.37945,0.21188,0.58591,0.54989,0.57938,0.30914,1.5907,1.7635,2.45003,0.1738,0.00056704,0.00056704,0.00056704
25,2053.29,1.58145,1.59541,2.37096,0.21083,0.65216,0.5779,0.62502,0.33164,1.62284,1.67873,2.45164,0.18093,0.000536081,0.000536081,0.000536081
26,2134.09,1.55008,1.52761,2.335,0.20466,0.58441,0.61064,0.61288,0.33225,1.59421,1.65735,2.42514,0.17402,0.000505,0.000505,0.000505
27,2215.79,1.51546,1.48974,2.32278,0.19252,0.63941,0.61,0.63678,0.3467,1.57523,1.62442,2.38711,0.18156,0.000473919,0.000473919,0.000473919
28,2297.03,1.4899,1.44125,2.28107,0.18883,0.6391,0.60359,0.64108,0.35613,1.56634,1.58805,2.39872,0.17234,0.00044296,0.00044296,0.00044296
29,2378.23,1.4601,1.38261,2.27392,0.17627,0.6324,0.62168,0.65133,0.37681,1.53701,1.5232,2.37437,0.18144,0.000412246,0.000412246,0.000412246
30,2459.47,1.44368,1.337,2.27384,0.18111,0.61415,0.64684,0.645,0.37132,1.51002,1.48256,2.35195,0.17997,0.000381899,0.000381899,0.000381899
31,2542.71,1.41385,1.29535,2.21434,0.17857,0.69598,0.67123,0.71402,0.42129,1.47994,1.38488,2.33774,0.16444,0.000352037,0.000352037,0.000352037
32,2624.67,1.41366,1.28514,2.21218,0.17825,0.65982,0.69795,0.70125,0.41518,1.47913,1.3698,2.32589,0.17236,0.000322778,0.000322778,0.000322778
33,2706.25,1.36072,1.2187,2.15738,0.17018,0.63186,0.66536,0.69505,0.4105,1.47964,1.3943,2.34059,0.16131,0.000294239,0.000294239,0.000294239
34,2787.27,1.36906,1.18561,2.1567,0.18705,0.72532,0.64178,0.71906,0.42512,1.45206,1.36072,2.3063,0.16734,0.000266532,0.000266532,0.000266532
35,2869.2,1.35201,1.16224,2.14705,0.1691,0.7219,0.68024,0.74633,0.44842,1.4305,1.27837,2.29097,0.16572,0.000239766,0.000239766,0.000239766
36,2950.88,1.32161,1.11798,2.11747,0.1636,0.70975,0.66716,0.73864,0.44652,1.43451,1.30144,2.29275,0.17017,0.000214046,0.000214046,0.000214046
37,3037.35,1.30925,1.07764,2.1345,0.16595,0.75402,0.70153,0.76534,0.47114,1.39092,1.21768,2.27678,0.16384,0.000189475,0.000189475,0.000189475
38,3120.77,1.31851,1.06359,2.12185,0.16607,0.768,0.65939,0.75489,0.46582,1.38206,1.28159,2.24016,0.16707,0.000166149,0.000166149,0.000166149
39,3203.1,1.27708,1.05683,2.07029,0.17531,0.76333,0.67459,0.75856,0.46802,1.38106,1.25302,2.24531,0.16447,0.000144161,0.000144161,0.000144161
40,3284.17,1.26486,1.02011,2.05447,0.16494,0.76294,0.68603,0.76455,0.4711,1.36335,1.23714,2.22085,0.16248,0.000123596,0.000123596,0.000123596
41,3372.97,1.26511,1.00242,2.04455,0.1654,0.7592,0.71073,0.77916,0.49324,1.3384,1.18392,2.18773,0.16249,0.000104537,0.000104537,0.000104537
42,3456.64,1.24474,0.97593,2.02194,0.16388,0.76307,0.71158,0.78661,0.49244,1.34502,1.17997,2.20389,0.1666,8.70577e-05,8.70577e-05,8.70577e-05
43,3539.85,1.23381,0.98596,2.04252,0.16143,0.78248,0.70112,0.78438,0.49853,1.32848,1.16653,2.18571,0.16411,7.12282e-05,7.12282e-05,7.12282e-05
44,3621.66,1.22684,0.9566,2.03984,0.15732,0.78984,0.69327,0.77509,0.49282,1.32177,1.17337,2.18274,0.16108,5.71106e-05,5.71106e-05,5.71106e-05
45,3703.47,1.20754,0.94925,2.00938,0.16456,0.76822,0.71278,0.77673,0.49517,1.32501,1.17471,2.1821,0.16017,4.47606e-05,4.47606e-05,4.47606e-05
46,3785.12,1.18707,0.9221,1.97902,0.15985,0.78755,0.69581,0.78492,0.50228,1.31862,1.16835,2.17136,0.16321,3.4227e-05,3.4227e-05,3.4227e-05
47,3868.05,1.20644,0.95174,1.99462,0.16706,0.77805,0.70648,0.78564,0.50458,1.31269,1.16038,2.17335,0.15638,2.55513e-05,2.55513e-05,2.55513e-05
48,3950.46,1.19615,0.92333,1.99901,0.15722,0.79718,0.69301,0.78701,0.50112,1.31797,1.16358,2.17255,0.15751,1.87678e-05,1.87678e-05,1.87678e-05
49,4031.8,1.1847,0.90549,1.97648,0.15637,0.79587,0.70684,0.79292,0.50939,1.31001,1.1473,2.16948,0.15813,1.39032e-05,1.39032e-05,1.39032e-05
50,4115.26,1.21483,0.95043,2.02181,0.16236,0.79382,0.69794,0.78806,0.50598,1.3104,1.15726,2.1689,0.15703,1.09768e-05,1.09768e-05,1.09768e-05
